index,SKU Code,Design No.,Stock,Size,Color,BrandCode,CategoryName
0,AN201-RED-L,AN201,5,L,Red,AN,LEGGINGS
1,AN201-RED-M,AN201,5,M,Red,AN,LEGGINGS
2,AN201-RED-S,AN201,3,S,Red,AN,LEGGINGS
3,AN201-RED-XL,AN201,6,XL,Red,AN,LEGGINGS
4,AN201-RED-XXL,AN201,3,XXL,Red,AN,LEGGINGS
5,AN202-ORANGE-L,AN202,11,L,Orange,AN,LEGGINGS
6,AN202-ORANGE-M,AN202,3,M,Orange,AN,LEGGINGS
7,AN202-ORANGE-S,AN202,16,S,Orange,AN,LEGGINGS
8,AN202-ORANGE-XL,AN202,8,XL,Orange,AN,LEGGINGS
9,AN202-ORANGE-XXL,AN202,14,XXL,Orange,AN,LEGGINGS
10,AN203-MAROON-L,AN203,1,L,Maroon,AN,LEGGINGS
11,AN203-MAROON-M,AN203,2,M,Maroon,AN,LEGGINGS
12,AN203-MAROON-S,AN203,2,S,Maroon,AN,LEGGINGS
13,AN203-MAROON-XL,AN203,2,XL,Maroon,AN,LEGGINGS
14,AN203-MAROON-XXL,AN203,3,XXL,Maroon,AN,LEGGINGS
15,AN204-PURPLE-L,AN204,10,L,Purple,AN,LEGGINGS
16,AN204-PURPLE-M,AN204,4,M,Purple,AN,LEGGINGS
17,AN204-PURPLE-S,AN204,6,S,Purple,AN,LEGGINGS
18,AN204-PURPLE-XL,AN204,3,XL,Purple,AN,LEGGINGS
19,AN204-PURPLE-XXL,AN204,5,XXL,Purple,AN,LEGGINGS
20,AN205-YELLOW-L,AN205,9,L,Yellow,AN,LEGGINGS
21,AN205-YELLOW-M,AN205,7,M,Yellow,AN,LEGGINGS
22,AN205-YELLOW-S,AN205,6,S,Yellow,AN,LEGGINGS
23,AN205-YELLOW-XL,AN205,7,XL,Yellow,AN,LEGGINGS
24,AN205-YELLOW-XXL,AN205,13,XXL,Yellow,AN,LEGGINGS
25,AN206-GREEN-L,AN206,10,L,Green,AN,LEGGINGS
26,AN206-GREEN-M,AN206,13,M,Green,AN,LEGGINGS
27,AN206-GREEN-S,AN206,13,S,Green,AN,LEGGINGS
28,AN206-GREEN-XL,AN206,15,XL,Green,AN,LEGGINGS
29,AN206-GREEN-XXL,AN206,13,XXL,Green,AN,LEGGINGS
30,AN207-PINK-L,AN207,4,L,Pink,AN,LEGGINGS
31,AN207-PINK-M,AN207,2,M,Pink,AN,LEGGINGS
32,AN207-PINK-S,AN207,4,S,Pink,AN,LEGGINGS
33,AN207-PINK-XL,AN207,1,XL,Pink,AN,LEGGINGS
34,AN207-PINK-XXL,AN207,2,XXL,Pink,AN,LEGGINGS
35,AN209-BIEGE-L,AN209,4,L,Beige,AN,LEGGINGS
36,AN209-BIEGE-M,AN209,7,M,Beige,AN,LEGGINGS
37,AN209-BIEGE-S,AN209,4,S,Beige,AN,LEGGINGS
38,AN209-BIEGE-XL,AN209,3,XL,Beige,AN,LEGGINGS
39,AN209-BIEGE-XXL,AN209,3,XXL,Beige,AN,LEGGINGS
40,AN210-NAVY-L,AN210,5,L,Navy Blue,AN,LEGGINGS
41,AN210-NAVY-M,AN210,3,M,Navy Blue,AN,LEGGINGS
42,AN210-NAVY-S,AN210,4,S,Navy Blue,AN,LEGGINGS
43,AN210-NAVY-XL,AN210,2,XL,Navy Blue,AN,LEGGINGS
44,AN210-NAVY-XXL,AN210,2,XXL,Navy Blue,AN,LEGGINGS
45,AN211-BLACK-L,AN211,2,L,Black,AN,LEGGINGS
46,AN211-BLACK-M,AN211,1,M,Black,AN,LEGGINGS
47,AN211-BLACK-S,AN211,7,S,Black,AN,LEGGINGS
48,AN211-BLACK-XL,AN211,3,XL,Black,AN,LEGGINGS
49,AN211-BLACK-XXL,AN211,3,XXL,Black,AN,LEGGINGS
50,AN212-WHITE-L,AN212,11,L,White,AN,LEGGINGS
51,AN212-WHITE-M,AN212,8,M,White,AN,LEGGINGS
52,AN212-WHITE-S,AN212,13,S,White,AN,LEGGINGS
