ProductKey,SKU Code,Design No.,Size,Color,BrandCode,CategoryName
1,AN201-RED-L,AN201,L,Red,AN,LEGGINGS
2,AN201-RED-M,AN201,M,Red,AN,LEGGINGS
3,AN201-RED-S,AN201,S,Red,AN,LEGGINGS
4,AN201-RED-XL,AN201,XL,Red,AN,LEGGINGS
5,AN201-RED-XXL,AN201,XXL,Red,AN,LEGGINGS
6,AN202-ORANGE-L,AN202,L,Orange,AN,LEGGINGS
7,AN202-ORANGE-M,AN202,M,Orange,AN,LEGGINGS
8,AN202-ORANGE-S,AN202,S,Orange,AN,LEGGINGS
9,AN202-ORANGE-XL,AN202,XL,Orange,AN,LEGGINGS
10,AN202-ORANGE-XXL,AN202,XXL,Orange,AN,LEGGINGS
11,AN203-MAROON-L,AN203,L,Maroon,AN,LEGGINGS
12,AN203-MAROON-M,AN203,M,Maroon,AN,LEGGINGS
13,AN203-MAROON-S,AN203,S,Maroon,AN,LEGGINGS
14,AN203-MAROON-XL,AN203,XL,Maroon,AN,LEGGINGS
15,AN203-MAROON-XXL,AN203,XXL,Maroon,AN,LEGGINGS
16,AN204-PURPLE-L,AN204,L,Purple,AN,LEGGINGS
17,AN204-PURPLE-M,AN204,M,Purple,AN,LEGGINGS
18,AN204-PURPLE-S,AN204,S,Purple,AN,LEGGINGS
19,AN204-PURPLE-XL,AN204,XL,Purple,AN,LEGGINGS
20,AN204-PURPLE-XXL,AN204,XXL,Purple,AN,LEGGINGS
21,AN205-YELLOW-L,AN205,L,Yellow,AN,LEGGINGS
22,AN205-YELLOW-M,AN205,M,Yellow,AN,LEGGINGS
23,AN205-YELLOW-S,AN205,S,Yellow,AN,LEGGINGS
24,AN205-YELLOW-XL,AN205,XL,Yellow,AN,LEGGINGS
25,AN205-YELLOW-XXL,AN205,XXL,Yellow,AN,LEGGINGS
26,AN206-GREEN-L,AN206,L,Green,AN,LEGGINGS
27,AN206-GREEN-M,AN206,M,Green,AN,LEGGINGS
28,AN206-GREEN-S,AN206,S,Green,AN,LEGGINGS
29,AN206-GREEN-XL,AN206,XL,Green,AN,LEGGINGS
30,AN206-GREEN-XXL,AN206,XXL,Green,AN,LEGGINGS
31,AN207-PINK-L,AN207,L,Pink,AN,LEGGINGS
32,AN207-PINK-M,AN207,M,Pink,AN,LEGGINGS
33,AN207-PINK-S,AN207,S,Pink,AN,LEGGINGS
34,AN207-PINK-XL,AN207,XL,Pink,AN,LEGGINGS
35,AN207-PINK-XXL,AN207,XXL,Pink,AN,LEGGINGS
36,AN209-BIEGE-L,AN209,L,Beige,AN,LEGGINGS
37,AN209-BIEGE-M,AN209,M,Beige,AN,LEGGINGS
38,AN209-BIEGE-S,AN209,S,Beige,AN,LEGGINGS
39,AN209-BIEGE-XL,AN209,XL,Beige,AN,LEGGINGS
40,AN209-BIEGE-XXL,AN209,XXL,Beige,AN,LEGGINGS
41,AN210-NAVY-L,AN210,L,Navy Blue,AN,LEGGINGS
42,AN210-NAVY-M,AN210,M,Navy Blue,AN,LEGGINGS
43,AN210-NAVY-S,AN210,S,Navy Blue,AN,LEGGINGS
44,AN210-NAVY-XL,AN210,XL,Navy Blue,AN,LEGGINGS
45,AN210-NAVY-XXL,AN210,XXL,Navy Blue,AN,LEGGINGS
46,AN211-BLACK-L,AN211,L,Black,AN,LEGGINGS
47,AN211-BLACK-M,AN211,M,Black,AN,LEGGINGS
48,AN211-BLACK-S,AN211,S,Black,AN,LEGGINGS
49,AN211-BLACK-XL,AN211,XL,Black,AN,LEGGINGS
50,AN211-BLACK-XXL,AN211,XXL,Black,AN,LEGGINGS
51,AN212-WHITE-L,AN212,L,White,AN,LEGGINGS
52,AN212-WHITE-M,AN212,M,White,AN,LEGGINGS
53,AN212-WHITE-S,AN212,S,White,AN,LEGGINGS
54,AN212-WHITE-XL,AN212,XL,White,AN,LEGGINGS
55,AN212-WHITE-XXL,AN212,XXL,White,AN,LEGGINGS
56,AN213-BROWN-L,AN213,L,Brown,AN,LEGGINGS
57,AN213-BROWN-M,AN213,M,Brown,AN,LEGGINGS
58,AN213-BROWN-S,AN213,S,Brown,AN,LEGGINGS
59,AN213-BROWN-XL,AN213,XL,Brown,AN,LEGGINGS
60,AN213-BROWN-XXL,AN213,XXL,Brown,AN,LEGGINGS
61,BL001-50PINK,BL001,FREE,Pink,BLOUSE,
62,BL003-50BLACK,BL003,FREE,Black,BLOUSE,
63,BL004-50CHIKU,BL004,FREE,Beige,BLOUSE,
64,BL005-54RED,BL005,FREE,Red,BLOUSE,
65,BL006-54BLACK,BL006,FREE,Black,BLOUSE,
66,#REF!,BL006,FREE,Black,BLOUSE,
67,BL007-61PINK,BL007,FREE,Pink,BLOUSE,
68,BL008-61RED,BL008,FREE,Red,BLOUSE,
69,#REF!,BL008,FREE,Red,BLOUSE,
70,BL009-61BLACK,BL009,FREE,Black,BLOUSE,
71,BL010-61CHIKU,BL010,FREE,Beige,BLOUSE,
72,BL011-62PINK,BL011,FREE,Pink,BLOUSE,
73,BL013-62BLACK,BL013,FREE,Black,BLOUSE,
74,#REF!,BL013,FREE,Black,BLOUSE,
75,BL014-62CHIKU,BL014,FREE,Beige,BLOUSE,
76,BL015-63PINK,BL015,FREE,Pink,BLOUSE,
77,BL016-63RED,BL016,FREE,Red,BLOUSE,
78,BL017-63BLACK,BL017,FREE,Black,BLOUSE,
79,BL018-63BEIGE,BL018,FREE,Beige,BLOUSE,
80,BL019-71PINK,BL019,FREE,Pink,BLOUSE,
81,#REF!,BL019,FREE,Pink,BLOUSE,
82,BL020-71RED,BL020,FREE,Red,BLOUSE,
83,BL021-71BLACK,BL021,FREE,Black,BLOUSE,
84,#REF!,BL021,FREE,Black,BLOUSE,
85,#REF!,BL021,FREE,Black,BLOUSE,
86,#REF!,BL021,FREE,Black,BLOUSE,
87,#REF!,BL021,FREE,Black,BLOUSE,
88,BL022-71BEIGE,BL022,FREE,Beige,BLOUSE,
89,#REF!,BL022,FREE,Beige,BLOUSE,
90,#REF!,BL022,FREE,Beige,BLOUSE,
91,BL023-74PINK,BL023,FREE,Pink,BLOUSE,
92,BL024-74RED,BL024,FREE,Red,BLOUSE,
93,BL025-74BLACK,BL025,FREE,Black,BLOUSE,
94,BL026-74BEIGE,BL026,FREE,Beige,BLOUSE,
95,BL029-78BLACK,BL029,FREE,Black,BLOUSE,
96,#REF!,BL029,FREE,Black,BLOUSE,
97,BL030-78BEIGE,BL030,FREE,Beige,BLOUSE,
98,BL031-79PINK,BL031,FREE,Pink,BLOUSE,
99,BL034-150GOLD,BL034,FREE,Gold,BLOUSE,
