SaleID,SKU Code,Date,Quantity
1,SAR114,2024-02-15,1
2,J0047-TP-S,2024-11-23,4
3,JNE3691-TU-XL,2024-08-23,4
4,JNE3657-TP-S,2024-08-01,5
5,JNE3752-KR-XXL,2024-03-25,5
6,JNE3840-KR-M,2024-10-08,4
7,BTM051-SHA-M,2024-08-19,1
8,JNE3503-KR-S,2024-03-25,3
9,JNE3726-KR-L,2024-03-05,5
10,SET287-KR-NP-XL,2024-05-13,5
11,J0187-KR-XXL,2024-05-30,5
12,J0033-KR-L,2024-04-24,2
13,NW009-ST-CP-XL,2024-03-04,1
14,J0331-KR-XXXL,2024-12-08,1
15,JNE3676-TU-M,2024-12-28,1
16,JNE3633-KR-M,2024-12-17,1
17,JNE3870-DR-L,2024-06-06,1
18,J0112-TP-XXXL,2024-03-17,4
19,JNE3534-KR-XL,2024-05-25,5
20,JNE2132-KR-398-XS,2024-12-08,4
21,JNE3864-TU-XS,2024-08-12,2
22,SET344-KR-NP-L,2024-11-08,3
23,J0349-SET-XXL,2024-04-12,5
24,SET205-KR-DPT-XXL,2024-12-12,2
25,J0247-SKD-XXL,2024-10-27,4
26,J0395-DR-XXL,2024-03-28,3
27,SET462-KR-NP-XS,2024-10-29,2
28,BL099-S,2024-06-16,3
29,J0391-TP-XXXL,2024-06-18,2
30,JAN8620-KR-L,2024-05-14,4
31,JNE3553-KR-S,2024-02-19,3
32,J0225-SKD-XS,2024-12-05,2
33,SET187-KR-DH-S,2024-12-12,4
34,J0124-TP-XXL,2024-05-13,5
35,J0165-TP-M,2024-12-12,4
36,JNE3255-KR-XXL,2024-05-16,4
37,JNE3403-KR-XXXL,2024-09-01,5
38,SET374-KR-NP-XS,2024-04-18,4
39,JNE3691-TU-XXXL,2024-11-08,5
40,SET364-KR-NP-L,2024-10-13,5
41,SET307-KR-DPT-S,2024-01-21,5
42,SET100-KR-PP-M,2024-03-30,2
43,J0371-SKD-XL,2024-10-22,3
44,NW030-TP-PJ-XS,2024-04-21,2
45,JNE3835-KR-XS,2024-10-27,5
46,JNE3710-DR-XL,2024-03-17,3
47,NW038-ST-SR-XXXL,2024-06-25,3
48,J0033-KR-XXXL,2024-12-08,5
49,SET271-KR-NP-XXL,2024-05-27,3
50,JAN8659-KR-NP-S,2024-04-10,3
51,J0173-DR-S,2024-09-02,2
52,JNE3415-KR-XXXL,2024-04-26,3
53,SET130-KR-NP-S,2024-04-01,5
